product_id,product_name,category,price,cost
1,Apparel Product 1,Apparel,1782.85,980.57
2,Electronics Product 2,Electronics,1816.23,1362.17
3,Beauty Product 3,Beauty,500.52,250.26
4,Beauty Product 4,Beauty,861.1,430.55
5,Electronics Product 5,Electronics,4567.42,3425.57
6,Beauty Product 6,Beauty,1326.8,663.4
7,Books Product 7,Books,207.21,134.69
8,Home Product 8,Home,1651.76,991.06
9,Beauty Product 9,Beauty,928.89,464.44
10,Electronics Product 10,Electronics,678.89,509.17
11,Books Product 11,Books,348.2,226.33
12,Beauty Product 12,Beauty,711.42,355.71
13,Home Product 13,Home,349.61,209.77
14,Apparel Product 14,Apparel,968.61,532.74
15,Apparel Product 15,Apparel,777.93,427.86
16,Books Product 16,Books,329.32,214.06
17,Electronics Product 17,Electronics,3316.07,2487.05
18,Beauty Product 18,Beauty,1357.52,678.76
19,Electronics Product 19,Electronics,4748.62,3561.47
20,Apparel Product 20,Apparel,760.93,418.51
21,Apparel Product 21,Apparel,1835.48,1009.51
22,Home Product 22,Home,537.05,322.23
23,Beauty Product 23,Beauty,876.93,438.46
24,Books Product 24,Books,717.26,466.22
25,Home Product 25,Home,1426.8,856.08
26,Books Product 26,Books,249.29,162.04
27,Apparel Product 27,Apparel,1855.58,1020.57
28,Apparel Product 28,Apparel,1118.67,615.27
29,Home Product 29,Home,858.24,514.94
30,Home Product 30,Home,1868.78,1121.27
31,Home Product 31,Home,2628.99,1577.39
32,Apparel Product 32,Apparel,1501.65,825.91
33,Books Product 33,Books,741.22,481.79
34,Beauty Product 34,Beauty,1494.39,747.2
35,Home Product 35,Home,2071.83,1243.1
36,Books Product 36,Books,746.12,484.98
37,Apparel Product 37,Apparel,508.5,279.68
38,Books Product 38,Books,766.59,498.28
39,Electronics Product 39,Electronics,1328.61,996.46
40,Home Product 40,Home,2263.11,1357.87
41,Apparel Product 41,Apparel,1808.21,994.52
42,Beauty Product 42,Beauty,1449.56,724.78
43,Apparel Product 43,Apparel,1108.81,609.85
44,Apparel Product 44,Apparel,643.13,353.72
45,Home Product 45,Home,588.28,352.97
46,Home Product 46,Home,370.74,222.44
47,Books Product 47,Books,551.02,358.16
48,Books Product 48,Books,518.58,337.08
49,Home Product 49,Home,1910.17,1146.1
50,Home Product 50,Home,2155.92,1293.55
51,Apparel Product 51,Apparel,527.16,289.94
52,Beauty Product 52,Beauty,374.31,187.16
53,Books Product 53,Books,454.7,295.56
54,Apparel Product 54,Apparel,694.36,381.9
55,Beauty Product 55,Beauty,838.88,419.44
56,Home Product 56,Home,742.22,445.33
57,Home Product 57,Home,387.02,232.21
58,Electronics Product 58,Electronics,4664.46,3498.35
59,Beauty Product 59,Beauty,489.32,244.66
60,Home Product 60,Home,2346.0,1407.6
61,Electronics Product 61,Electronics,1296.85,972.64
62,Beauty Product 62,Beauty,1327.27,663.63
63,Beauty Product 63,Beauty,1094.22,547.11
64,Beauty Product 64,Beauty,1353.86,676.93
65,Beauty Product 65,Beauty,726.33,363.17
66,Electronics Product 66,Electronics,3235.68,2426.76
67,Beauty Product 67,Beauty,1136.26,568.13
68,Beauty Product 68,Beauty,994.96,497.48
69,Books Product 69,Books,535.97,348.38
70,Books Product 70,Books,566.91,368.49
71,Electronics Product 71,Electronics,2842.92,2132.19
72,Beauty Product 72,Beauty,793.97,396.99
73,Electronics Product 73,Electronics,4450.01,3337.51
74,Home Product 74,Home,1700.5,1020.3
75,Beauty Product 75,Beauty,1478.98,739.49
76,Electronics Product 76,Electronics,3009.65,2257.24
77,Books Product 77,Books,647.35,420.78
78,Electronics Product 78,Electronics,1354.33,1015.75
79,Beauty Product 79,Beauty,717.45,358.73
80,Apparel Product 80,Apparel,1637.88,900.83
81,Apparel Product 81,Apparel,1138.16,625.99
82,Beauty Product 82,Beauty,582.75,291.38
83,Electronics Product 83,Electronics,3604.79,2703.59
84,Home Product 84,Home,1551.66,931.0
85,Beauty Product 85,Beauty,317.57,158.78
86,Books Product 86,Books,223.56,145.31
87,Books Product 87,Books,759.6,493.74
88,Books Product 88,Books,237.95,154.67
89,Beauty Product 89,Beauty,620.5,310.25
90,Electronics Product 90,Electronics,1304.95,978.71
91,Books Product 91,Books,732.8,476.32
92,Home Product 92,Home,2682.88,1609.73
93,Electronics Product 93,Electronics,1625.37,1219.03
94,Home Product 94,Home,2239.61,1343.77
95,Electronics Product 95,Electronics,910.36,682.77
96,Beauty Product 96,Beauty,1024.29,512.14
97,Electronics Product 97,Electronics,2857.18,2142.88
98,Beauty Product 98,Beauty,1144.94,572.47
99,Books Product 99,Books,547.85,356.1
100,Home Product 100,Home,1322.43,793.46
101,Beauty Product 101,Beauty,257.08,128.54
102,Home Product 102,Home,2763.08,1657.85
103,Books Product 103,Books,716.35,465.63
104,Home Product 104,Home,737.74,442.64
105,Home Product 105,Home,782.94,469.76
106,Electronics Product 106,Electronics,2388.12,1791.09
107,Apparel Product 107,Apparel,1568.26,862.54
108,Beauty Product 108,Beauty,575.41,287.7
109,Home Product 109,Home,617.4,370.44
110,Home Product 110,Home,2893.17,1735.9
111,Electronics Product 111,Electronics,3301.52,2476.14
112,Apparel Product 112,Apparel,419.53,230.74
113,Beauty Product 113,Beauty,1312.03,656.01
114,Books Product 114,Books,674.85,438.65
115,Books Product 115,Books,723.76,470.44
116,Home Product 116,Home,885.56,531.34
117,Beauty Product 117,Beauty,789.86,394.93
118,Beauty Product 118,Beauty,303.23,151.62
119,Books Product 119,Books,154.27,100.28
120,Books Product 120,Books,330.77,215.0
121,Books Product 121,Books,683.08,444.0
122,Home Product 122,Home,432.08,259.25
123,Home Product 123,Home,448.67,269.2
124,Apparel Product 124,Apparel,458.75,252.31
125,Electronics Product 125,Electronics,3501.48,2626.11
126,Books Product 126,Books,343.99,223.59
127,Electronics Product 127,Electronics,720.64,540.48
128,Beauty Product 128,Beauty,1491.86,745.93
129,Home Product 129,Home,2114.64,1268.78
130,Books Product 130,Books,579.6,376.74
131,Books Product 131,Books,521.98,339.29
132,Books Product 132,Books,265.32,172.46
133,Beauty Product 133,Beauty,1174.14,587.07
134,Apparel Product 134,Apparel,1890.37,1039.7
135,Electronics Product 135,Electronics,3958.3,2968.73
136,Apparel Product 136,Apparel,989.71,544.34
137,Beauty Product 137,Beauty,1266.34,633.17
138,Beauty Product 138,Beauty,1296.3,648.15
139,Electronics Product 139,Electronics,1817.75,1363.31
140,Home Product 140,Home,629.46,377.68
141,Apparel Product 141,Apparel,926.73,509.7
142,Beauty Product 142,Beauty,882.04,441.02
143,Home Product 143,Home,1952.55,1171.53
144,Electronics Product 144,Electronics,3071.15,2303.36
145,Books Product 145,Books,791.67,514.59
146,Beauty Product 146,Beauty,1141.3,570.65
